"tile_id","place_id","name","rating","user_ratings_total","status","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","lon","lat"
"24","ChIJsUsCQ9mP2zARkPNUck5dpWQ","เอื้องดอยคาเฟ่",4.1,7,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.67229619999999,17.953242500000002
"24","ChIJLQzZJQCJ2zARVFcWdyWmULg","บ้านบ้านคาเฟ่ BannBannCafe",4.8,13,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.72215399999999,17.9244105
"24","ChIJMZ138fqJ2zARdQcgbOejB0w","Nature Cafe",4.5,30,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7203189,17.9388146
"24","ChIJn9eDNGmJ2zARr39pEGZM3HY","บ้านลมหายใจ",5,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7279392,17.9276175
"27","ChIJO6nBwQR72zARqDad8hSvqdc","ไร่คานาอันโฮมคาเฟ่",4.9,19,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.33749499999999,18.0035246
"27","ChIJs7luInZ92zARM2LWH3lhRWw","ร้านมะดอขายน้ำ",2,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.35452389999999,17.9586215
"27","ChIJY8IZEjV92zARnTsqIMdOyPo","กาแฟรอเก้อออ",4.5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.35961209999999,17.9578957
"27","ChIJVSvc91WD3DARiyeAwxNahFE","หน้าบ้าน HnaBanCafe (ป้าลี)",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36002510000002,17.9580174
"28","ChIJZ7c3-g2P2zARuZbFKoUI5r8","TwinsCoffee Doitao",4.3,23,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6868687,17.9837038
"28","ChIJ097KGQCP2zARKSgWXgwcnNk","ร้านฟองจันทร์",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.689246,17.9877958
"28","ChIJn0br3omP2zARBIrtQPCVquE","Chubby coffee caké",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.67250589999999,18.0078893
"28","ChIJgXnvNwCP2zARtibiw_RZeu8","Good luck cafe",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6710603,18.007621
"28","ChIJRWRHA7-P2zARRCNCBczKjSA","ร้านน้ำปั่นป้านุช",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.67334299999999,18.02634
"28","ChIJ_c4aWQCP2zARg7nb8ihMOiQ","Coffee station สถานีกาแฟ",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.667991,18.026166
"29","ChIJId1AIgBx2zARk-wcaxWN0fo","สโลโม คาเฟ่",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.33823919999999,18.0705704
"29","ChIJu3TcDSpx2zARVapRAdm_ZGM","CHA NHA BAN ชาหน้าบ้าน",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3609302,18.0602088
"29","ChIJGQP4fQB72zAR8XEi8MYjEbs","NF SHOP",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36291609999999,18.0475921
"29","ChIJsbp5sPl72zARMFVF2ID31Is","ร้านสังกะสีคอฟฟี่บาร์",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3631338,18.046208
"29","ChIJRT254aN72zARQipgWAjxl8s","Miracle coffe by โคนัน",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3641573,18.0497405
"29","ChIJRfoaTAB72zAR3sZLE65eejA","โตมา คาเฟ่ Toma cafe",5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3645851,18.0476947
"31","ChIJsbdMPA2D2zARAZOdguT7qJE","ป่าไผ่คอฟฟี่",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.5589296,18.0514821
"31","ChIJl7GBOQCD2zARcybvVnc1NYY","กาแฟสดดอยเรือ",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.54898229999999,18.06880019999999
"32","ChIJP1Bo9smb2zARjB4OYKc1Wtg","Coffalica coffee slowbar",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6357951,18.0583438
"32","ChIJRfQzGCyb2zARzvnDYlfEB4Q","ร้านฟองนม กาแฟสด",4.8,6,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6362881,18.0607848
"33","ChIJP0Kt6y6R2zARj3psFyEq5C8","บาร์นม Milk bar Fresh coffee",4.5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7067568,18.0564732
"33","ChIJv86CSnSR2zARJNPGNenkvII","ทุ่งนา โครงการเกษตรทฤษฎีใหม่",4,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.70742109999999,18.0558029
"33","ChIJvZs6aACR2zARR92rKqGBbTE","บ้านสวนภัทร",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.69389799999999,18.083187
"35","ChIJd2xR7uNp2zARQ897TNuzDvw","โฮงเหล็กคอฟฟี่",4.7,40,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.2211808,18.1061706
"35","ChIJ9d3MF4tp2zARdlH7r0cYOHk","ธีร์คาเฟ่",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.2063623,18.0956721
"35","ChIJc-S8lKdp2zARwPTvKeY4UU0","Peko Coffee",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.20532999999999,18.09497169999999
