"match_status","place_id","osm_id","dist_m","name","lat","lon","rating","user_ratings_total","any_url","opening_hours"
"osm_only",NA,"5261323757",NA,NA,18.7494361,99.0087099,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5263183023",NA,NA,18.8208329,98.9489587,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5265199221",NA,NA,18.7877721,99.0415674,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5269237521",NA,NA,18.7786748,98.948544,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5271206421",NA,"อาคาร ภราดร",18.7520885,98.9657391,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5271367722",NA,"Punsanook Healthy Juice",18.7924726,98.981968,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 12:00-20:00"
"osm_only",NA,"5274894622",NA,"ลานจอดรถ DTAC",18.7966522,99.0250073,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5276808922",NA,"สหภาพกระต่าย",18.7427268,98.9244798,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 09:00-19:00"
"osm_only",NA,"5287018021",NA,"Khun Kae's Juice Bar",18.7928129,98.9916531,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 10:00-19:30"
"osm_only",NA,"5287393821",NA,NA,18.7945096,98.9892969,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5291428396",NA,NA,18.7522591,98.976109,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5291429172",NA,NA,18.7609363,98.9602786,NA,NA,"https://m.facebook.com/pages/category/Restaurant/Fernpresso-cafe-1041211955987617/","08:00-18:00"
"osm_only",NA,"5293932211",NA,"Earth Home Cafe",19.2154298,99.008895,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","09:00-17:00"
"osm_only",NA,"5307634562",NA,NA,18.7475223,99.1145995,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5307634591",NA,NA,18.720446,99.0745461,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5311551425",NA,"This is",18.7784948,98.9885909,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238538",NA,NA,18.7290357,98.9434735,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238539",NA,NA,18.7290964,98.9435119,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238540",NA,NA,18.7290403,98.9436107,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238541",NA,NA,18.7289796,98.9435722,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238542",NA,NA,18.7289399,98.9436455,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238543",NA,NA,18.7289703,98.9435996,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238544",NA,NA,18.7290303,98.943644,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5312238545",NA,NA,18.7289999,98.9436898,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5313364621",NA,"Marche Dome",18.7281632,98.945301,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5313364622",NA,"Sweet a Bit Cake",18.7306182,98.9423924,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5313364627",NA,"Danissa Bakery & Cafe",18.7309786,98.9418811,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5317882822",NA,NA,18.9217854,98.9397731,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5324844331",NA,NA,20.0592726,99.3610767,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5334408621",NA,NA,18.7866795,98.9939647,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5340666521",NA,"สวนไอเบอร์รี่",18.7938536,98.9691784,NA,NA,"http://iberryhomemade.com","Mo-Su 10:00-22:00"
"osm_only",NA,"5344068322",NA,"Harinezumi Hedgehog Cafe",18.7811213,98.9961991,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5346609684",NA,"Coffee Shop",18.7946037,98.9511352,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Fr 09:00-17:00"
"osm_only",NA,"5346617694",NA,"Moo Coffee",18.7932502,98.9574056,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5346617708",NA,"Fresh & Mild",18.7936839,98.9570683,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5346617710",NA,"ฮิมตาง คาเฟ่",18.7939228,98.9568322,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5346617712",NA,"มิกุชา",18.7938347,98.9569316,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5348338286",NA,"Cafe Amazon",18.7947311,99.0360635,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5356035050",NA,"Book Cafe",19.9131849,99.2071796,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5360688321",NA,NA,18.816141,98.9997742,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5363084143",NA,NA,18.7841486,99.0244109,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5363084144",NA,NA,18.7841486,99.0244597,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5363084145",NA,NA,18.7840928,99.0244597,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5363084146",NA,NA,18.7840947,99.0244109,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5365571787",NA,"Jiang Dara Coffee & Tea",19.3631774,98.9750754,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5372598867",NA,NA,18.9298202,98.9009468,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5374663214",NA,"มีใจให้มัทฉะ คาเฟ่",18.7813325,99.0012908,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5375098626",NA,"Ganesh Cafe",18.8012938,99.0161509,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5375162406",NA,NA,18.7082985,99.0213553,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","09:00-17:00"
"osm_only",NA,"5379782847",NA,NA,18.419672,98.6773347,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5382204921",NA,NA,18.689686,98.9211247,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5409046221",NA,NA,18.7775076,98.9520805,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 09:00-16:00"
"osm_only",NA,"5411784121",NA,NA,18.7976174,98.9687258,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5421752121",NA,NA,18.793436,98.9876037,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5426197745",NA,NA,18.7182812,99.0030053,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5426264832",NA,"กาเเพลด ดอยหลาง",18.8104975,98.9487796,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5439223989",NA,"อินทนนท์ กาแฟ",18.744341,98.9913681,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5449554825",NA,NA,18.7843741,98.9965693,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 08:00-17:00"
"osm_only",NA,"5455608060",NA,NA,18.7959443,98.9682817,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5455786827",NA,"คาเฟ่ อเมซอน",18.7684218,98.983713,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5480647765",NA,"SnoozeChaingmai",18.7796067,99.0027469,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 10:00-15:00"
"osm_only",NA,"5480665754",NA,NA,18.7976675,99.0101607,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5519849098",NA,"baan bond cafe",18.7356635,98.9934261,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 08:00-19:00"
"osm_only",NA,"5521533218",NA,NA,18.7909207,98.9500724,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5521533219",NA,NA,18.7908614,98.9502054,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5521535028",NA,NA,18.7910494,98.9501365,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5521535057",NA,NA,18.7909901,98.9502695,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5545281420",NA,"Hang Out Bar & Cafe",18.7840722,98.997888,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5546761952",NA,NA,18.787475,98.9929928,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5546761957",NA,NA,18.787418,98.9930698,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5555784176",NA,NA,18.7909579,98.9862277,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5555784177",NA,NA,18.790914,98.9863897,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5555784178",NA,NA,18.7908043,98.9863907,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5555784179",NA,NA,18.790803,98.986229,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5558856823",NA,"Wake Up Coffee",18.7960732,98.981635,NA,NA,"http://www.wakeup24hrs.com/","24/7"
"osm_only",NA,"5558883026",NA,"Wake Up Coffee",18.8073064,98.9572208,NA,NA,"https://wakeup24hrs-chiangmai-university.business.site/","24/7"
"osm_only",NA,"5559133022",NA,"Pizza and Cafè",20.0680085,99.4567735,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5569411021",NA,NA,18.8083543,98.96436,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5570751423",NA,NA,18.8639185,99.1188688,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5573269766",NA,NA,18.786261,99.0052244,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5573269768",NA,NA,18.7861689,99.0053247,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5573269769",NA,NA,18.7862562,99.0053292,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5580093624",NA,NA,19.4163754,98.8454772,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5581904522",NA,NA,18.8670236,99.01623,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5583840795",NA,"Field Good",18.7486351,98.8866423,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5585615822",NA,"HP House Cafe",18.7856502,98.9848285,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5593553723",NA,"Tenten",18.7816382,98.9824223,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 08:00-17:00"
"osm_only",NA,"5608450921",NA,NA,18.7482571,98.9454271,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 11:00-22:00"
"osm_only",NA,"5613364523",NA,NA,18.7895311,98.9841306,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5614323621",NA,NA,18.7780261,98.9992259,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Fr 07:30-16:00; Sa-Su 09:30-16:00"
"osm_only",NA,"5621081721",NA,"Mana Café",18.7952269,98.9871793,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5623443421",NA,"Fact Café",18.7933766,98.987445,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5625897221",NA,"Kitchen 7",18.7987997,98.9749985,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5626559221",NA,NA,18.7895267,98.9912419,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Sa 07:00-12:30"
"osm_only",NA,"5694469226",NA,"Smoothie shop",18.7872033,98.9881294,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5702387255",NA,NA,18.783595300000002,98.9816905,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
